CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Honduras,HND,15576.98526,16347.26758,20059.15918,19175.91752,19503.6156,19871.43781,20317.11642,20517.29166,20781.24773,21214.15329,21642.92533,22306.05564
Hong Kong,HKG,168300.6398,212240.9602,290971.5715,283205.8857,300159.7335,312502.6868,314326.9325,322775.6342,329370.4959,334376.9972,339500.0409,349744.9842
Hungary,HUN,0,2181407.155,2884069.385,2697897.6,2722453.638,2775552.236,2744063.109,2809309.939,2935978.332,3042064.088,3118580.364,3253878.302
Iceland,ISL,0,4468507.543,5687893.264,5299765.42,5116031.947,5200550.555,5241196.569,5415526.809,5473454.765,5650252.755,5989258.144,6101089.472
India,IND,26514.90239,37698.74439,57213.8795,61190.26629,66552.48216,70045.5135,72941.69781,76659.31128,81366.44907,86979.94935,92102.92607,97103.41785
Indonesia,IDN,15522804.97,19484342.83,26152131.57,26998988.07,28302888.04,29659798.64,31047022.89,32362911.41,33570450.89,34794095.06,36132033.1,37549518.99
Iran,IRN,53060445.52,61177977.19,80049159.14,79931631.48,83568083.16,84729061.82,77434606.46,76304431.71,78823841.36,76852336.43,86152236.97,88876598.02
Iraq,IRQ,3907658.851,4129834.262,4143615.445,4171409.92,4313243.775,4497745.725,4960480.25,5163162.558,5032519.92,5112047.054,5508587.84,5312527.8
Ireland,IRL,17905.69296,32425.57604,38445.62731,36296.30919,36749.46356,37681.72274,37536.32795,37951.12913,40812.41074,50761.06181,52771.84011,56200.60495
Isle of Man,IMN,15957.58386,27259.74724,42309.75119,42778.87173,46370.2168,48189.37827,50794.05695,52683.65991,54947.66679,52711.18899,0,0
Israel,ISR,79047.30943,103332.2782,112027.939,110893.2161,114573.955,117714.9264,117806.4623,120382.1832,122120.5788,123362.0021,125920.0302,127630.0382
Italy,ITA,23285.04143,27318.11404,28378.61924,26700.957,27067.88827,27177.18886,26339.96732,25586.43342,25381.5698,25647.89845,25912.00778,26334.32883
Jamaica,JAM,267809.2254,291536.9112,314840.3547,299687.7409,293917.3864,297708.4587,294653.4168,294999.9772,295947.3279,297565.334,300666.1796,301178.9646
Japan,JPN,3342171.65,3701653.916,3964647.218,3750374.125,3906878.27,3909603.818,3974398.37,4059749.837,4080373.339,4140005.626,4183667.233,4262321.004
Jordan,JOR,922.1616298,1061.839165,1425.789444,1430.832477,1390.270272,1352.32248,1315.639582,1285.178138,1265.43453,1246.188487,1231.299809,1223.651173
Kazakhstan,KAZ,408382.2016,311409.2012,603075.5394,594428.8253,628871.3695,665808.2178,688006.6365,718864.5388,738106.493,736126.3959,733715.4743,752759.2261
Kenya,KEN,72179.77491,64649.97447,70807.94789,71170.15387,75075.92717,77530.50303,78914.21111,81353.50551,83481.76848,85991.17578,88736.34401,90752.58923
Kiribati,KIR,1574.324698,1611.259863,1468.928281,1442.010381,1390.023575,1369.90808,1414.525433,1469.818031,1457.126691,1579.286877,1569.536256,1590.38901
"Democratic People's Republic of Korea",PRK,0,0,0,0,0,0,0,0,0,0,0,0
"Republic of Korea",KOR,9785983.591,17461748.25,24050115.64,24095935.26,25533864.88,26271145.85,26732478.68,27381774.97,28119533.94,28752128.27,29461101.98,30233342.85
Kosovo,XKX,0,1365.109118,2222.093382,2277.978557,2334.54226,2425.963149,2476.567693,2535.003563,2568.613459,2703.463203,2791.157362,2892.718632
Kuwait,KWT,0,10258.19062,13746.77153,12019.09169,11033.41702,11364.31226,11387.56068,10869.1538,10392.02104,10046.35913,10102.91212,9614.174013
Kyrgyzstan,KGZ,7251.57244,4329.456945,5824.633256,5920.8359,5823.038308,6095.248794,5989.30468,6512.517711,6640.032611,6756.821786,6907.62089,7082.121213
Lao People's Democratic Republic,LAO,4532347.842,6594129.185,9903054.653,10473178.27,11194733.34,11928094.2,12721389,13574461.32,14425958.21,15271316.66,16115580.05,16975690.27
Latvia,LVA,0,5236.027539,10019.44683,8719.252135,8551.804839,9264.658745,9758.749242,10103.50697,10388.62975,10785.2798,11124.71109,11743.46177
Lebanon,LBN,6378100.204,10172057.01,11848865.88,12815421.08,13353863.09,12738537,12221972.08,11688973.56,11226901.74,10838372.81,10769518.33,10850427.85
Lesotho,LSO,5545.466097,7160.717751,8955.287935,9060.867151,9510.525147,10050.56454,10522.08287,10577.17059,10762.8768,10887.3039,11000.69915,11462.20972
Liberia,LBR,191.3951342,183.4149991,147.612376,149.3786481,153.0072123,160.5897498,168.8079314,179.0172436,175.9841229,171.7255742,164.7953985,164.627108
Libya,LBY,0,5708.81656,7547.895467,7405.098436,7716.310539,2914.829593,6499.146028,5617.335729,4263.575228,3866.511109,3723.607566,4656.707546
Liechtenstein,LIE,68692.4166,103986.2705,115855.2404,113793.8405,0,0,0,0,0,0,0,0
Lithuania,LTU,0,5235.17052,10121.51971,8718.369852,9049.114514,9815.151538,10328.3724,10798.44886,11277.00032,11615.20581,12039.58701,12679.65867
Luxembourg,LUX,49774.0055,70568.7096,81980.78175,76968.9905,79253.52449,79479.61694,77320.08528,78314.58149,80905.26299,81279.53807,81998.58766,81443.13027
Macao,MAC,244365.9412,255627.0284,488923.8414,485042.251,594393.7173,706800.937,754120.2174,819200.0917,791572.758,608076.9858,591774.7935,634818.4211
Macedonia,MKD,153654.3033,137503.6305,176154.53,175377.3272,181123.7437,185214.7986,184222.9354,189456.3816,196167.0185,203525.4036,209284.4245,209130.3596
Madagascar,MDG,33852.36241,29569.93884,31187.45615,29102.21589,28375.19928,28003.69887,28073.46924,27938.22914,28095.3941,28200.79632,28600.13395,29004.96953
Malawi,MWI,49749.26919,57888.90309,63388.55339,66598.58704,69053.14432,70271.35212,69507.48614,71005.29004,72890.60001,72779.26853,72451.67986,73203.11389
Malaysia,MYS,14607.1399,22578.80089,28638.13354,27699.64176,29219.74799,30204.85887,31273.45695,32150.29702,33493.72868,34610.86597,35534.60042,37111.75697
Maldives,MDV,0,99048.10795,129229.8261,116693.1442,121733.6733,128420.7442,127879.2291,133325.7946,139294.9268,138966.3074,144305.2154,153959.1594
